pressure14_063,temperature14_063,k,o,r
1.301839999999999918e+03,4.897859999999999658e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.318980000000000018e+03,5.001870000000000260e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.365650000000000091e+03,5.339339999999999975e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.398109999999999900e+03,5.902689999999999770e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.394559999999999945e+03,6.730419999999999625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.407359999999999900e+03,7.540680000000000049e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.426619999999999891e+03,8.303150000000000475e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.441150000000000091e+03,8.718989999999999796e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.427390000000000100e+03,8.905799999999999272e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.459130000000000109e+03,8.860250000000000625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.365900000000000091e+03,8.734650000000000247e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.432519999999999982e+03,8.470769999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.327700000000000045e+03,8.500640000000000640e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.192650000000000091e+03,8.651699999999999946e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.091759999999999991e+03,8.544629999999999725e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020559999999999945e+03,8.570999999999999730e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.935910000000000082e+02,8.525909999999999656e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.638120000000000118e+02,8.477479999999999905e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.057780000000000200e+02,8.456300000000000594e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.632849999999999682e+02,8.663230000000000430e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.246319999999999482e+02,8.971330000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.840410000000000537e+02,9.208859999999999602e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.504769999999999754e+02,9.334949999999999193e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.099310000000000400e+02,9.300169999999999604e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.689180000000000064e+02,9.341699999999999449e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.299790000000000418e+02,9.476169999999999760e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.007229999999999563e+02,9.767070000000000363e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.822980000000000018e+02,1.008919999999999995e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.802259999999999991e+02,1.037379999999999924e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.806059999999999945e+02,1.052369999999999983e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.822630000000000337e+02,1.054129999999999967e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.583540000000000418e+02,1.059909999999999997e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.307359999999999900e+03,4.458619999999999806e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.334269999999999982e+03,4.443979999999999819e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.371579999999999927e+03,4.922130000000000116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.380269999999999982e+03,5.743909999999999627e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.401519999999999982e+03,6.835329999999999906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.401579999999999927e+03,7.709959999999999702e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.413220000000000027e+03,8.359560000000000102e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425720000000000027e+03,8.938819999999999766e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.472720000000000027e+03,9.096330000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
